product_name,category,categoryRank,noRatings,cost,CategoryFactor,CostBenefit
2017 President Donald Trump Inaugural Silver EAGLE Commemorative Novelty Coin 38mm. 45th President of the United States of America CERTIFICATE OF AUTHENTICITY,Collectible Coins,14,1.686,8.68,0.86,0.16704608294930876
"Spectrum | Language Arts Workbook | Grade 5, Printable",Digital Educational Resources,13,1.702,8.99,0.87,0.16470967741935483
"Spectrum | Math Workbook | Grade 1, Printable",Digital Educational Resources,21,1.802,8.99,0.79,0.15835150166852058
"Spectrum | Language Arts Workbook | Grade 4, Printable",Digital Educational Resources,13,1.566,8.99,0.87,0.15154838709677418
"Spectrum | Language Arts Workbook | Grade 6, Printable",Digital Educational Resources,9,1.481,8.99,0.91,0.14991212458286987
"Spectrum | Spelling Workbook | Grade 3, Printable",Digital Educational Resources,17,1.574,8.99,0.83,0.14531924360400444
"Spectrum | Science Workbook | Grade 8, Printable",Digital Educational Resources,24,1.611,8.99,0.76,0.13619132369299222
"Stress & Anxiety Relief Aromatherapy Nasal Inhaler - Personal Diffuser Sniffer Stick with Pure Undiluted Organic Essential Oils Blend - Soothes, Comforts, Boosts Mood, Reduces Worry",Handmade Products,50,2.662,9.99,0.5,0.13323323323323322
"Spectrum | Spelling Workbook | Grade 2, Printable",Digital Educational Resources,23,1.545,8.99,0.77,0.13233036707452722
"Spectrum | Reading Workbook | Grade 3, Printable",Digital Educational Resources,30,1.691,8.99,0.7,0.13166852057842046
"Spectrum | Reading Workbook | Grade 5, Printable",Digital Educational Resources,32,1.729,8.99,0.68,0.1307808676307008
"Spectrum | Language Arts Workbook | Grade 3, Printable",Digital Educational Resources,7,1.258,8.99,0.93,0.13013793103448276
Saint Michael Law Enforcement Challenge Coin God Bless The Police Prayer,Collectible Coins,14,1.206,8.0,0.86,0.12964499999999998
"Spectrum | Language Arts Workbook | Grade 2, Printable",Digital Educational Resources,27,1.29,8.99,0.73,0.10474972191323692
Magnum P.I. Tom Selleck as Magnum and John Hillerman as Higgins with dobermans 8 x 10 Inch Photo,Entertainment Collectibles,17,1.0,7.95,0.83,0.10440251572327043
MarshLing Antique Liberty Indian Head Ten-Dollars Coin - Great American Commemorative Old Coins- Uncirculated Morgan Dollars-Discover History of US Coins Perfect Quality,Collectible Coins,36,1.022,6.36,0.64,0.10284276729559748
"Colorful Behavior Chart for Multiple Kids, 1 to 6 Custom Movable Name Pieces",Handmade Products,49,1.206,5.99,0.51,0.10268113522537561
"Mark Twain | Understanding the U.S. Constitution Workbook | Grades 5–12, Printable",Digital Educational Resources,12,1.053,9.74,0.88,0.09513757700205337
"Spectrum | Language Arts Workbook | Grade 1, Printable",Digital Educational Resources,22,1.029,8.99,0.78,0.08927919911012236
Dinosaur Coloring Printable Pages For Kids,Digital Educational Resources,49,1.0,5.99,0.51,0.08514190317195325
"Spectrum | Science Workbook | Grade 6, Printable",Digital Educational Resources,35,1.168,8.99,0.65,0.08444938820912125
"Spectrum | Writing Workbook | Grade 3, Printable",Digital Educational Resources,26,1.024,8.99,0.74,0.08428921023359288
"Carson Dellosa | Biology Workbook | Grades 6–12, Printable",Digital Educational Resources,34,1.113,9.74,0.66,0.07541889117043121
Tom Holland 8 Inch x 10 Inch photograph Avengers: Endgame Spider Man: Homecoming Spider Man: Far from Home Shirtless Holding Basketball kn,Entertainment Collectibles,43,1.0,7.99,0.57,0.07133917396745931
"Ellen Barkin 8 Inch x10 Inch Photograph Animal Kingdom (TV Series 2016 - ) w/Cast ""Blood Runs But Family Doesn't"" Title Poster kn",Entertainment Collectibles,46,1.0,7.99,0.54,0.06758448060075094
1996 Topps Independence Day Widevision Trading Card Set (72),Entertainment Collectibles,35,1.0,9.99,0.65,0.06506506506506507
"Spectrum | Writing Workbook | Grade 1, Printable",Digital Educational Resources,45,1.045,8.99,0.55,0.0639321468298109
